Location,Account,Campaign,Platform
"93637, California, United States",CGDR,Nationwide (CA),GOOGLE
"90020, California, United States",CGDR,Nationwide (CA),GOOGLE
"90254, California, United States",CGDR,Nationwide (CA),GOOGLE
"91792, California, United States",CGDR,Nationwide (CA),GOOGLE
"92683, California, United States",CGDR,Nationwide (CA),GOOGLE
"95661, California, United States",CGDR,Nationwide (CA),GOOGLE
"91406, California, United States",CGDR,Nationwide (CA),GOOGLE
"95746, California, United States",CGDR,Nationwide (CA),GOOGLE
"94565, California, United States",CGDR,Nationwide (CA),GOOGLE
"95776, California, United States",CGDR,Nationwide (CA),GOOGLE
"93108, California, United States",CGDR,Nationwide (CA),GOOGLE
"93725, California, United States",CGDR,Nationwide (CA),GOOGLE
"92345, California, United States",CGDR,Nationwide (CA),GOOGLE
"92808, California, United States",CGDR,Nationwide (CA),GOOGLE
"93722, California, United States",CGDR,Nationwide (CA),GOOGLE
"93277, California, United States",CGDR,Nationwide (CA),GOOGLE
"90066, California, United States",CGDR,Nationwide (CA),GOOGLE
"91364, California, United States",CGDR,Nationwide (CA),GOOGLE
"90025, California, United States",CGDR,Nationwide (CA),GOOGLE
"94587, California, United States",CGDR,Nationwide (CA),GOOGLE
"92154, California, United States",CGDR,Nationwide (CA),GOOGLE
"90023, California, United States",CGDR,Nationwide (CA),GOOGLE
"91770, California, United States",CGDR,Nationwide (CA),GOOGLE
"91387, California, United States",CGDR,Nationwide (CA),GOOGLE
"95020, California, United States",CGDR,Nationwide (CA),GOOGLE
"92545, California, United States",CGDR,Nationwide (CA),GOOGLE
"90045, California, United States",CGDR,Nationwide (CA),GOOGLE
"94022, California, United States",CGDR,Nationwide (CA),GOOGLE
"92630, California, United States",CGDR,Nationwide (CA),GOOGLE
"93618, California, United States",CGDR,Nationwide (CA),GOOGLE
"91007, California, United States",CGDR,Nationwide (CA),GOOGLE
"95030, California, United States",CGDR,Nationwide (CA),GOOGLE
"94536, California, United States",CGDR,Nationwide (CA),GOOGLE
"90620, California, United States",CGDR,Nationwide (CA),GOOGLE
"92832, California, United States",CGDR,Nationwide (CA),GOOGLE
"92241, California, United States",CGDR,Nationwide (CA),GOOGLE
"95621, California, United States",CGDR,Nationwide (CA),GOOGLE
"92570, California, United States",CGDR,Nationwide (CA),GOOGLE
"95209, California, United States",CGDR,Nationwide (CA),GOOGLE
"93230, California, United States",CGDR,Nationwide (CA),GOOGLE
"90019, California, United States",CGDR,Nationwide (CA),GOOGLE
"91950, California, United States",CGDR,Nationwide (CA),GOOGLE
"90012, California, United States",CGDR,Nationwide (CA),GOOGLE
"95023, California, United States",CGDR,Nationwide (CA),GOOGLE
"94941, California, United States",CGDR,Nationwide (CA),GOOGLE
"92127, California, United States",CGDR,Nationwide (CA),GOOGLE
"95624, California, United States",CGDR,Nationwide (CA),GOOGLE
"95678, California, United States",CGDR,Nationwide (CA),GOOGLE
"95062, California, United States",CGDR,Nationwide (CA),GOOGLE
"90049, California, United States",CGDR,Nationwide (CA),GOOGLE
"93274, California, United States",CGDR,Nationwide (CA),GOOGLE
"90403, California, United States",CGDR,Nationwide (CA),GOOGLE
"90043, California, United States",CGDR,Nationwide (CA),GOOGLE
"94706, California, United States",CGDR,Nationwide (CA),GOOGLE
"90015, California, United States",CGDR,Nationwide (CA),GOOGLE
"90504, California, United States",CGDR,Nationwide (CA),GOOGLE
"94901, California, United States",CGDR,Nationwide (CA),GOOGLE
"93933, California, United States",CGDR,Nationwide (CA),GOOGLE
"91789, California, United States",CGDR,Nationwide (CA),GOOGLE
"91320, California, United States",CGDR,Nationwide (CA),GOOGLE
"92392, California, United States",CGDR,Nationwide (CA),GOOGLE
"92604, California, United States",CGDR,Nationwide (CA),GOOGLE
"95765, California, United States",CGDR,Nationwide (CA),GOOGLE
"95823, California, United States",CGDR,Nationwide (CA),GOOGLE
"95683, California, United States",CGDR,Nationwide (CA),GOOGLE
"92612, California, United States",CGDR,Nationwide (CA),GOOGLE
"95204, California, United States",CGDR,Nationwide (CA),GOOGLE
"91204, California, United States",CGDR,Nationwide (CA),GOOGLE
"95051, California, United States",CGDR,Nationwide (CA),GOOGLE
"94566, California, United States",CGDR,Nationwide (CA),GOOGLE
"94973, California, United States",CGDR,Nationwide (CA),GOOGLE
"92371, California, United States",CGDR,Nationwide (CA),GOOGLE
"93433, California, United States",CGDR,Nationwide (CA),GOOGLE
"92677, California, United States",CGDR,Nationwide (CA),GOOGLE
"92675, California, United States",CGDR,Nationwide (CA),GOOGLE
"92804, California, United States",CGDR,Nationwide (CA),GOOGLE
"92139, California, United States",CGDR,Nationwide (CA),GOOGLE
"92024, California, United States",CGDR,Nationwide (CA),GOOGLE
"92692, California, United States",CGDR,Nationwide (CA),GOOGLE
"95838, California, United States",CGDR,Nationwide (CA),GOOGLE
"94526, California, United States",CGDR,Nationwide (CA),GOOGLE
"91765, California, United States",CGDR,Nationwide (CA),GOOGLE
